Data,PIB - preços de mercado - var. real trim. - (%) - Instituto Brasileiro de Geografia e Estatística- Sistema de Contas Nacionais Trimestrais (IBGE/SCN Trimestral) - SCN104_PIBPMG104
1996 T1,-0.579872607
1996 T2,1.34719274
1996 T3,5.647213344
1996 T4,2.27448354
1997 T1,3.400571651
1997 T2,4.754002328
1997 T3,1.791279422
1997 T4,3.738517979
1998 T1,1.00757483
1998 T2,1.509653301
1998 T3,0.355599698
1998 T4,-1.43453738
1999 T1,0.767667395
1999 T2,-0.400739156
1999 T3,-0.616233113
1999 T4,2.167630657
2000 T1,4.400704945
2000 T2,3.978408179
2000 T3,4.564589118
2000 T4,4.597511752
2001 T1,3.475090306
2001 T2,2.326055394
2001 T3,0.461195748
2001 T4,-0.531801799
2002 T1,0.476919127
2002 T2,2.29820253
2002 T3,4.174709006
2002 T4,5.172628189
2003 T1,2.667028392
2003 T2,0.781242384
2003 T3,0.626180711
2003 T4,0.588711946
2004 T1,3.878082362
2004 T2,6.308256602
2004 T3,6.558806525
2004 T4,6.209369339
2005 T1,4.184321381
2005 T2,4.474971959
2005 T3,2.114972849
2005 T4,2.150551413
2006 T1,4.279096733
2006 T2,2.283297381
2006 T3,4.492788044
2006 T4,4.795212154
2007 T1,5.194690807
2007 T2,6.53725714
2007 T3,5.870251834
2007 T4,6.639734889
2008 T1,6.15740415
2008 T2,6.336123666
2008 T3,6.98081131
2008 T4,1.028398075
2009 T1,-2.426053216
2009 T2,-2.202984321
2009 T3,-1.162650203
2009 T4,5.324322682
2010 T1,9.209087472
2010 T2,8.517733569
2010 T3,6.907159638
2010 T4,5.689338384
2011 T1,5.195139039
2011 T2,4.700519124
2011 T3,3.537344923
2011 T4,2.567965167
2012 T1,1.707113953
2012 T2,0.986402167
2012 T3,2.485424651
2012 T4,2.482941824
2013 T1,2.721482354
2013 T2,4.022169604
2013 T3,2.758936944
2013 T4,2.528106688
2014 T1,3.467755517
2014 T2,-0.43660153
2014 T3,-0.63872046
2014 T4,-0.22573293
2015 T1,-1.612960634
2015 T2,-2.734957568
2015 T3,-4.26328924
2015 T4,-5.530758132
2016 T1,-5.163750912
2016 T2,-3.240267964
2016 T3,-2.452368635
2016 T4,-2.214432709
2017 T1,0.389595122
2017 T2,0.879416958
2017 T3,1.634733582
2017 T4,2.381669284
2018 T1,1.454713035
2018 T2,1.053003783
2018 T3,1.537085502
2018 T4,1.222877342
2019 T1,0.593652829
2019 T2,1.075934805
2019 T3,1.194032983
2019 T4,0.796021988
